,zipcode,crime_count,zip_rank,Average2022
0,30318,3038,16.0,395594.0833333333
1,30315,1731,13.0,287388.1666666667
2,30310,1622,8.0,363522.5833333333
3,30312,1339,10.0,580055.0
4,30309,1322,7.0,951724.0
5,30331,1303,23.0,309667.5
6,30308,1222,6.0,692864.9090909091
7,30311,1179,9.0,330709.5
8,30314,1078,12.0,320176.5833333333
9,30303,1070,2.0,
10,30324,1056,19.0,712703.5833333334
11,30316,800,14.0,442251.5
12,30307,714,5.0,766139.5
13,30326,680,20.0,
14,30305,677,3.0,1154168.3333333333
15,30306,616,4.0,1033885.5
16,30313,513,11.0,486685.0
17,30354,457,28.0,257599.25
18,30317,321,15.0,572913.9166666666
19,30337,304,25.0,329473.8333333333
20,30327,148,21.0,1648590.6363636365
21,30342,132,26.0,930713.75
22,30363,111,30.0,
23,30320,56,18.0,
24,30319,48,17.0,793613.8333333334
25,30344,9,27.0,281530.25
26,30336,6,24.0,
27,30032,6,1.0,292484.1666666667
28,31126,4,32.0,
29,30361,1,29.0,
30,30380,1,31.0,
31,30329,1,22.0,570412.25
