RegionID,RegionName,City,CountyName,Price
71023,30303,Atlanta,Fulton County,122748.0415
71025,30305,Atlanta,Fulton County,326787.3113
71026,30306,Atlanta,Fulton County,292719.9773
71027,30307,Atlanta,Dekalb County,250209.3589
71028,30308,Atlanta,Fulton County,182118.491
71029,30309,Atlanta,Fulton County,234169.4566
71030,30310,Atlanta,Fulton County,51146.27667
71031,30311,Atlanta,Fulton County,76528.25021
71032,30312,Atlanta,Fulton County,158823.4219
71033,30313,Atlanta,Fulton County,209292.8469
71034,30314,Atlanta,Fulton County,58210.00281
71035,30315,Atlanta,Fulton County,117048.3817
71036,30316,Atlanta,Dekalb County,107023.803
71037,30317,Atlanta,Dekalb County,126334.8811
71038,30318,Atlanta,Fulton County,152477.5996
71039,30319,Brookhaven,Dekalb County,276733.3345
71043,30324,Atlanta,Fulton County,241366.5607
71045,30326,Atlanta,Fulton County,325628.7241
71046,30327,Atlanta,Fulton County,615813.9455
71047,30328,Sandy Springs,Fulton County,237994.0043
71048,30329,Atlanta,Dekalb County,195835.3908
71055,30337,College Park,Fulton County,127217.5298
71056,30338,Dunwoody,Dekalb County,268229.9291
71057,30339,Vinings,Cobb County,224155.3695
71058,30340,Atlanta,Dekalb County,125287.4274
71059,30341,Chamblee,Dekalb County,155960.6131
71060,30342,Sandy Springs,Fulton County,328555.6558
71062,30344,East Point,Fulton County,78485.60337
71063,30345,Atlanta,Dekalb County,247757.9556
71064,30346,Dunwoody,Dekalb County,
71070,30354,Atlanta,Fulton County,59575.14785
71076,30360,Dunwoody,Dekalb County,153111.6064
71079,30363,Atlanta,Fulton County,
71023,30303,Atlanta,Fulton County,123534.4745
71025,30305,Atlanta,Fulton County,328414.0295
71026,30306,Atlanta,Fulton County,294401.0137
71027,30307,Atlanta,Dekalb County,251421.0736
71028,30308,Atlanta,Fulton County,182760.8366
71029,30309,Atlanta,Fulton County,234803.0716
71030,30310,Atlanta,Fulton County,51496.44237
71031,30311,Atlanta,Fulton County,76912.77039
71032,30312,Atlanta,Fulton County,159866.1455
71033,30313,Atlanta,Fulton County,212090.7999
71034,30314,Atlanta,Fulton County,58229.81469
71035,30315,Atlanta,Fulton County,117768.6286
71036,30316,Atlanta,Dekalb County,107639.6232
71037,30317,Atlanta,Dekalb County,128179.5551
71038,30318,Atlanta,Fulton County,152742.427
71039,30319,Brookhaven,Dekalb County,277779.4513
71043,30324,Atlanta,Fulton County,242872.1584
71045,30326,Atlanta,Fulton County,326078.3789
71046,30327,Atlanta,Fulton County,619719.0906
71047,30328,Sandy Springs,Fulton County,239536.1604
71048,30329,Atlanta,Dekalb County,196572.3591
71055,30337,College Park,Fulton County,128031.9758
71056,30338,Dunwoody,Dekalb County,268979.42
71057,30339,Vinings,Cobb County,223981.249
71058,30340,Atlanta,Dekalb County,125657.0134
71059,30341,Chamblee,Dekalb County,156340.8587
71060,30342,Sandy Springs,Fulton County,330330.16
71062,30344,East Point,Fulton County,78804.44386
71063,30345,Atlanta,Dekalb County,248369.5609
71064,30346,Dunwoody,Dekalb County,
71070,30354,Atlanta,Fulton County,59931.53396
71076,30360,Dunwoody,Dekalb County,153794.7879
71079,30363,Atlanta,Fulton County,
71023,30303,Atlanta,Fulton County,123548.9398
71025,30305,Atlanta,Fulton County,329805.8111
71026,30306,Atlanta,Fulton County,295720.1832
71027,30307,Atlanta,Dekalb County,252314.6783
71028,30308,Atlanta,Fulton County,183685.441
71029,30309,Atlanta,Fulton County,235561.8411
71030,30310,Atlanta,Fulton County,51812.95175
71031,30311,Atlanta,Fulton County,77150.80206
71032,30312,Atlanta,Fulton County,161072.8029
71033,30313,Atlanta,Fulton County,213401.0767
71034,30314,Atlanta,Fulton County,58397.71331
71035,30315,Atlanta,Fulton County,118181.7944
71036,30316,Atlanta,Dekalb County,108570.5391
71037,30317,Atlanta,Dekalb County,130486.8078
71038,30318,Atlanta,Fulton County,153148.4373
71039,30319,Brookhaven,Dekalb County,278897.3814
71043,30324,Atlanta,Fulton County,243971.5133
71045,30326,Atlanta,Fulton County,327751.5317
71046,30327,Atlanta,Fulton County,623703.9667
71047,30328,Sandy Springs,Fulton County,240640.9477
71048,30329,Atlanta,Dekalb County,197261.6624
71055,30337,College Park,Fulton County,128746.5972
71056,30338,Dunwoody,Dekalb County,269798.947
71057,30339,Vinings,Cobb County,224722.4147
71058,30340,Atlanta,Dekalb County,126112.9644
71059,30341,Chamblee,Dekalb County,156954.5607
71060,30342,Sandy Springs,Fulton County,332583.0727
71062,30344,East Point,Fulton County,79016.54685
71063,30345,Atlanta,Dekalb County,249385.1766
